Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USD,Cumulative P&L %
21,Entry long,03/09/2020 09:00,Long,4.37,1758.677,7685.41849,-1178.31,-15.33,158.28,2.06,-1266.25,-16.48,-3792.05,-3.79
22,Exit short,05/09/2020 00:00,Short Exit,3.6,1370.337,5070.2469,137.03,2.7,726.28,14.32,-589.24,-11.62,-3655.02,-3.66
22,Entry short,03/09/2020 13:30,Short,3.7,1370.337,5070.2469,137.03,2.7,726.28,14.32,-589.24,-11.62,-3655.02,-3.66
23,Exit short,06/09/2020 09:30,Short Exit,2.88,2190.169,6942.83573,635.15,9.15,2365.38,34.07,-21.9,-0.32,-3019.87,-3.02
23,Entry short,05/09/2020 10:00,Short,3.17,2190.169,6942.83573,635.15,9.15,2365.38,34.07,-21.9,-0.32,-3019.87,-3.02
24,Exit long,07/09/2020 07:00,Long Exit,2.83,1656.632,5185.25816,-496.99,-9.58,115.96,2.24,-496.99,-9.58,-3516.86,-3.52
24,Entry long,06/09/2020 23:00,Long,3.13,1656.632,5185.25816,-496.99,-9.58,115.96,2.24,-496.99,-9.58,-3516.86,-3.52
25,Exit short,08/09/2020 00:00,Short Exit,2.85,2104.359,5345.07186,-652.35,-12.2,336.7,6.3,-673.39,-12.6,-4169.21,-4.17
25,Entry short,07/09/2020 13:00,Short,2.54,2104.359,5345.07186,-652.35,-12.2,336.7,6.3,-673.39,-12.6,-4169.21,-4.17
26,Exit short,09/09/2020 09:00,Short Exit,2.57,3063.652,7414.03784,-459.55,-6.2,122.55,1.65,-520.82,-7.02,-4628.76,-4.63
26,Entry short,08/09/2020 20:00,Short,2.42,3063.652,7414.03784,-459.55,-6.2,122.55,1.65,-520.82,-7.02,-4628.76,-4.63
27,Exit long,10/09/2020 09:00,Long Exit,3.4,3137.381,8565.05013,2102.05,24.54,3607.99,42.12,-345.11,-4.03,-2526.71,-2.53
27,Entry long,09/09/2020 11:00,Long,2.73,3137.381,8565.05013,2102.05,24.54,3607.99,42.12,-345.11,-4.03,-2526.71,-2.53
